ID,POS,NEG,Lemme,Definicija
ENG30-00431005-n,0.875,0.0,"šala,pošalica,sprdačina",radnja koju karakteriše dobro raspoloženje
ENG30-00064504-n,0.625,0.0,hit,Upadljiv uspeh.
ENG30-06206800-n,0.75,0.0,"poštovanje,respekt",Stav divljenja ili poštovanja.
ENG30-02674564-v,0.625,0.0,"iskakati,štrčati",Biti veoma primetan.
ENG30-02737724-v,0.75,0.0,uklapati se,Biti prihvatljiv ili pristao.
ENG30-04846770-n,0.875,0.125,"moralnost,pravičnost",briga o razlikovanju dobra i zla ili pravednog i nepravednog; dobro ili pravedno ponašanje
ENG30-00860620-v,0.75,0.0,"slaviti,veličati,glorifikovati,uzdizati","""slaviti vrline svoje dece"""
ENG30-13987905-n,1.0,0.0,"blaženstvo,sedmo nebo,deveto nebo",Stanje izuzetne sreće.
ENG30-07508486-n,0.625,0.0,"ponos,dika",Osećanje samopoštovanja i lične vrednosti.
ENG30-05155821-n,0.625,0.0,"prednost,premoć",nadmoćan ili povoljniji položaj
ENG30-05154517-n,0.625,0.0,"preimućstvo,plus",Korisna ili vredna osobina
ENG30-02164694-v,0.625,0.0,diviti se,Gledati nekoga sa divljenjem.
ENG30-01332386-a,0.875,0.0,"intelektualan,uman",Koji koristi intelekt ili je privlačan intelektu.
ENG30-10676018-n,0.75,0.0,"nadređeni,starešina",Neko višeg ranga ili položaja ili kvaliteta.
ENG30-02492362-v,0.875,0.0,razonoditi,Zaokupiti na prijatan ili zabavan način.
ENG30-04895246-n,0.625,0.0,poverenje,osobina ljudi da veruju u poštenje i pouzdanost drugih
ENG30-07487955-n,0.625,0.0,požuda,Nagon za polnom prisnošću.
ENG30-07489714-n,0.625,0.0,"razbludnost,pohota",Jak seksualni nagon.
ENG30-01148283-a,0.875,0.0,srećan,"Onaj koji uživa ili pokazuje radost, zadovoljstvo ili srešu."
ENG30-04616916-n,0.875,0.0,karakter,Inherentni kompleks atributa koji određuju moralne i etičke akcije i reakcije osoba.
ENG30-01580050-a,0.625,0.0,neophodan,Apolutno važno.
ENG30-14447908-n,0.625,0.0,zdravlje,Stanje zadovoljstva jer nema bolesti.
ENG30-14447525-n,0.75,0.0,ugodnost,"Zadovoljno stanje sreće, zdravlja i prosperiteta."
ENG30-14474052-n,0.75,0.0,"prosperitet,uspešnost",Stanje kada je neko prosperitetan i uspešan.
ENG30-01170243-a,0.75,0.0,zdrav,"Koji ima ili ukazuje na dobro zdravlje tela ili duha, kod koga nema upale ili bolesti."
ENG30-00031820-v,0.8,0.0,nasmejati se,Proizvesti smeh.
ENG30-05138208-n,0.75,0.0,vrednost,"Kvalitet koji čini daa je nešto poželjno, vredno ili korisno."
ENG30-14460565-n,0.625,0.0,"celovitost,jedinstvenost",Nesmanjena i nenarušena celovitost ili ukupnost.
ENG30-05168261-n,0.75,0.125,važnost,Kvalitet nekoga ili nectega što je važno ili vredno pažnje.
ENG30-01275562-a,0.875,0.0,važan,Od velikog značaja ili važnosti.
ENG30-05141683-n,0.625,0.0,cena,Visoka vrednost nečega.
ENG30-04827652-n,0.625,0.0,nepoštenost,Ne pridržavanje moralnim principima.
ENG30-04849241-n,0.875,0.0,dobrota,Moralna izvanrednost.
ENG30-05138958-n,0.75,0.0,vrlina,Neki cenjeni atribut ili kvalitet.
ENG30-04847482-n,0.75,0.125,vrlina,Izuzetna moralna vrednost.
ENG30-04847733-n,0.75,0.0,prirodna vrlina,"U skolastici, jedna od četiri vrline koje dolaze od prirode."
ENG30-04814238-n,0.625,0.0,"veličanstvenost,briljantnost","Osobina nekoga ko je veličanstven, briljantan"
ENG30-04812268-n,0.875,0.0,"elegancija,gracioznost,otmenost",osobina prefinjene uglađenosti i dobrog ukusa
ENG30-04808639-n,0.625,0.0,popularnost,Osobina onog ko je široko prihvaćen i čije se društvo traži.
ENG30-01689880-a,0.625,0.0,pravoveran,Pristajanje uz ono što je opšte prihvaćeno.
ENG30-00217728-a,0.75,0.0,lep,"Koji ushićuje čula, uzbuđuje duh ili izaziva emocionalno divljenje."
ENG30-04668819-n,0.75,0.0,pouzdanost,Osobina onoga što zaslužuje poverenje.
ENG30-01996377-a,0.625,0.0,odgovoran,Koji odgovara za svoje postupke.
ENG30-01227495-n,0.625,0.0,milosrđe,Ublažavanje patnje; pokazivanje velike dobrote prema izmučenima.
ENG30-02735282-v,0.875,0.0,"odgovarati,pasati",Biti prihvatljiv ili odgovarajući.
ENG30-02702830-v,0.75,0.0,odgovarati,Biti nekome prihvatljiv ili odgovarajući.
ENG30-15245515-n,0.75,0.0,"pravo vreme,trenutak,pravi čas",Pogodan trenutak.
