,Sysnet
0,opšte prihvatiti i uvažiti 
1,osobina onaj što zasluživati poverenje . 
2,ukazati poverenje koji . 
3,koji imati urođen sklonost prema dobrota 
4,kvalitet koji pružati zadovoljstvo čulo . 
5,stanje bez oštećenje ili propadanje 
6,kvalitet onaj ko jesam brižljiv i pažljiv . 
7,osećanje dubok ljubav i divljenje 
8,"koji pobuđivati poštovanje , divljenje ili čuđenje "
9,Nestašno ponašanje sa namera da pobuditi seksualan zanimanje . 
10,koji proizvoditi ili jesam sposoban da proizvoditi ( posebno u velik količina ) 
11,"koji stvarno postojati , gzistira . "
12,koji slediti prihvaćen običaj i pristojnost . 
13,na čiji se lice očitavati zadovoljstvo 
14,stav divljenje ili poštovanje . 
15,osećanje izazvati nešto čudan i iznenađujući 
16,onaj koji jesam običan ; jesam konevencionalan ili konformist . 
17,koji nemati neki izrazit kvalitet ili karakteristika . 
18,kvalitet onaj što imati velik cena 
19,sposobnost postojanje ili delovanje u harmoničan ili usklađen kombijaciji 
20,nalaziti da jesam nešto zabavno ili prijatno . 
21,koji nastajati iz želja da se doprineti blagostanje ili sreća drugi . 
22,"koji pokazivati ili jesam motivisan saosećanje , razumevanje i velikodušnost "
23,"saglasan zakon , prema zakon "
24,proceniti da jesam nešto dobro ; misliti pozitivno o nešto . 
25,"koji ushićivati čuti , uzbuđivati duh ili izazivati emocionalno divljenje . "
26,postojan u naklonost ili odanost 
27,koji se kretati . 
28,stanje biti zaposliti ili imati posati . 
29,razvijati se u pozitivan smer 
30,priroda ili svojstvo onaj ko jesam emocionalan . 
31,"biti potpun u svoj vrsta , bez nedostatak "
32,pružiti moralan ili emocionalan snaga 
33,Apolutno važno . 
34,podvrgnuti nedobronamernom smeh . 
35,biti prihvatljiv ili pristati . 
36,biti zaljubiti ili u ljubav s neki 
37,Čin prilazak cilj . 
38,preparat koji se koristiti za čišćenje nešto 
39,jak seksualan nagon . 
40,osećaj spontano dobar rapoloženja 
41,koji osećati ili izazivati radost 
42,koji jesam pred erupcija ili izbacivati lav ( o vulkan ) 
43,veseo i ozaren 
44,biti privlačan koji 
45,biti šta u sklad sa princip pravda 
46,stanje zadovoljstvo jer nem bolest . 
47,francuski reč za sreća i dobar raspoloženje 
48,neki višeg rang ili položaj ili kvalitet . 
49,stanje ili uslov u koji jesam neki nevin za određen zločin ili uvreda . 
50,angažovati ili unajmiti za neki posao 
51,"osobina onaj koji ne odustajati od svoj ideja , osećanje ili namera "
52,gajiti osećanje dubok poštovanje i strah pred autoritet . 
53,"koji karakterisati ili koji pokazivati prihvatanje , slaganje ili uverenost . "
54,Čin koji se činiti neki dobro delo . 
55,koji zasluživati najviše poštovanje i divljenje 
56,koji moći da činiti po slobodan volja ; koji jesam sputati ograničenje . 
57,aktivnost štićenje neki ili nešto . 
58,"proširen značenje , naročito u psihološki slislu , ogledati se u jačina strast ili entuzijazam "
59,osobina prefinjen uglađenost i dobar ukus 
60,potpuno verovanje u osoba ili plan itd . 
61,gajiti nežan osećanje prema neki . 
62,"koji se lako upravljati , koji ustupati . "
63,Oslobođen spoljašnji kontrola i ograničenje . 
64,visok vrednost nešto . 
65,energičan i oduševljen uživanje 
66,prijateljski narav 
67,preuveličan osećanje blagostanje ili ushićenje 
68,obezbediti zabava za neki . 
69,sklonost obavljanje dobrovoljan ili dobrotvoran posao 
70,"kvalitet nešto što jesam isto po količina , mera , vrednost ili status "
71,"koji karakeriše ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . "
72,u rimski mitologija boginja sreća i sretan slučajnost ; u grčki mitologija ona odgovarati nTiha 
73,koji lako žaliti i sažaljevati 
74,"Onak koji jesam produktivan , svež , neobičan ; nešto što jesam prvi put smišljeno . "
75,"kvalitet da čovek ne stavljati sebe prvo , već da jesam spreman da svoj vreme , novac ili trud posvetiti drugi "
76,"ličan sloboda od ropstvo , zarobljeništvo i ugnjetavanje "
77,Učiniti da nešto biti pomaknuti prema napred . 
78,"stanje u koji jesam neki bogat , imati obilno materijalan dobro i novac . "
79,koji zasluživati uvažavanje i poštovanje 
80,"promena nabolje , napredak u razvoj . "
81,stanje kada jesam neki prosperitetan i uspešan . 
82,osećati se veselo i biti ispuniti dobar raspoloženje 
83,Čin ili proces merenje . 
84,onaj koji jesam po moralan kvalitet ili izgled nalik na anđeo ili svetac 
85,koji činiti živahan i veseo 
86,rad koji se obavljati sa drugi radi zajednički ciljati ili koristiti 
87,kvalitet neki ili nectega što jesam važan ili vredan pažnja . 
88,biti neki prihvatljiv ili odgovarajući . 
89,profesor visok rang . 
90,jako pozitivan osećanje poštovanje i privreženosti 
91,koji nešto potvrđivati 
92,pristajanje uz onaj što jesam opšte prihvaćen . 
93,pozitivan ili negativan kvalitet nešto što ga činiti poželjan ili vredan . 
94,"stanje pozitivan osećanje , od zadovoljstvo do jak ushićenje . "
95,radnja koji karakterisati dobro raspoloženje 
96,Korisna ili vredan osobina 
97,činjenje dobra ; osećaj dobrotvornosti 
98,koji jesam neki uveseliti 
99,prijatno i površno uzbuđivati 
100,Osećanje samopoštovanje i ličan vrednost . 
101,nešto što izazivati osećanje čuđenje 
102,izuzetno dobar ; ovaj reč se koristiti za naglašavanje značenje drugi reč 
103,osoba čiji jesam svetost izuzetan 
104,"presuda ( odluka ) da optužiti jesam kriv , odluka o nepostojanje krivica , o oslobađanje od krivica "
105,Pomoć u nevolja . 
106,moralan izvanrednost . 
107,stanje opuštenost i neosećanja bol 
108,i u metaforički značenje 
109,osećanje naklonjenost 
110,revnostan u posvećenost i privrženost 
111,"zadovoljan stanje sreća , zdravlje i prosperitet . "
112,briga o razlikovanje dobar i zao ili pravedan i nepravedan ; dobar ili pravedan ponašanje 
113,onaj koji imati visok vrednost ili cena ; 
114,"koji imati potreban sposobnost , veština ili znanje da nešto uraditi . "
115,izuzetno ponosan i veseo ; dobar raspoloženje 
116,oporavak ili način čuvanje od gubitak ili opasnost . 
117,koji inavodi na divljenje ili odobravanje 
118,smanjiti bol ili neprijatnost ; ublažiti 
119,Saosećanje sa neki ili nešto . 
120,"onaj koji uživati ili pokazivati radost , zadovoljstvo ili srešu . "
121,koji izražavati ili propovedati obožavanje božanstvo . 
122,koji se tič princip dobra i zlo ; koji se uklapati u standard ponašanje i karakter koji jesam zasnovati na ovaj princip . 
123,onaj koji imati velik moć ili sila ili snaga ili uticaj . 
124,koji moći ponovo da se koristiti 
125,postati stabilan ili stabilan . 
126,"onaj koji se moći ukazati poverenje , u koji se moći pouzdati "
127,""" slaviti vrlina svoj deca "" "
128,koji pokazivati ili izazivati veselje i zadovoljstvo 
129,Osećanje velik sreća . 
130,"koji imati veseo karkater , jesam sklon briga . "
131,koji jesam pun pozitivan energija i širok dobar raspoloženje 
132,na visok nivo po rang ili značaj 
133,zaokupiti na prijatan ili zabavan način . 
134,dati sloboda ; osloboditi od kazna ( kazna zatvor ) 
135,osećanje velik ( obićno preteran ) ushićenje 
136,Čin koji se nešto činiti čistiti . 
137,ne pridržavanje moralan princip . 
138,stanje izuzetan sreća . 
139,inherentan kompleks atribut koji određivati moralan i etički akcija i reakcija osoba . 
140,osećanje naklonost prema neki ili nećemu dobar 
141,usrećiti ili zadovoljiti 
142,"koji ohrabrivati , odobravati ili zadovoljavati "
143,veseo osećanje 
144,Osećaj zadovoljstvo ili užitak . 
145,osećati zadovoljstvo zbog nešto 
146,učiniti čist ili slobodan od greh ili krivica 
147,"Učiniti atraktivan dodavanje ukras , boja , i sl . "
148,izuzetan moralan vrednost . 
149,koji donositi spasenje ili iskupljenje od greh 
150,koji činiti ili donositi dobro 
151,onaj koji posedovati moralan kvalitet ; 
152,Učiniti lep . 
153,pokazivati poštovanje . 
154,sposobnost da se razumeti ; razumeti i profitirati na iskustvo . 
155,proceniti vrednost nešto . 
156,"ustanoviti , zasnovati na zakon ili na zvanično prihvaćen pravilo "
157,osećati sreća 
158,"osobina onaj na šta se moći osloniti , što jesam pouzdano "
159,Ublažavanje patnja ; pokazivanje velik dobrota prema izmučen . 
160,koji proizvoditi ili jesam sposoban da proizvesti nameravan rezultat ili koji proizvoditi izuzetan efekt . 
161,sposoban za korektan i validan rezonovanje 
162,spojiti ili vezati . 
163,biti prihvatljiv ili odgovarajući . 
164,osobina ljudi da verovati u poštenje i pouzdanost drugi 
165,moći se koristiti i u vremenski smisao 
166,Načiniti napet . 
167,ispuniti očekivanje . 
168,"učiniti da nešto postati sanitarni ( bez bacil ) , replaced-dns "
169,koji osećati ili izražavati radost i veselje 
170,"onaj koji vrediti imati , tražiti ili dostignuti "
171,umetnik nenadmašan veština . 
172,"onaj što jesam u saglasnost s norma ili što činiti norma ( standard , socijalan norma , ird ) . "
173,velik po stepen ili intenzitet ili broj ili količina . 
174,postignuti bod ili cilj 
175,imati visoko mišljenje o neki . 
176,diviti se i čuditi nešto 
177,biti veoma primetati . 
178,koji jesam saglasan sa princip i metoda koji se koristiti u nauka . 
179,"imati želja , čežnja ili velik apetit za nešto . "
180,koji osećati ili pokazivati ljubav i naklonost 
181,Ličnost koji moći da proceniti vrednost ili kvalitet . 
182,osoba koji voliti ili jesam voljen 
183,Učiniti svetiti pomoću religijski obred . 
184,"onaj ko imati nežan , pažljiv i obziran priroda ; koristiti se za osoba i njihov ponašanje . "
185,koji jesam osloboditi stresati ili pogodovati mentalan opuštenost ; koji imati ili pružati duševan mir 
186,bivati bolje . 
187,držanje do moralan princip 
188,"koji privremeno jesam aktivan , o vulkan "
189,nesmanjen i nenarušen celovitost ili ukupnost . 
190,koji donositi dobar profit 
191,koji jesam u život . 
192,Popuštati lako ili sposoban za nešto . 
193,bez prljavština ili nečistoća ; onaj koji imati navika da biti čist 
194,pogodan trenutak . 
195,blagonaklon procena 
196,koji moći da se desiti ili da postojati . 
197,koji imati složiti nutricione potreba ; rasti samo na specijalan veštački kultura podloga 
198,ispuniti ili okarakterisati veselje 
199,okarakterisan prijateljstvo i dobar volja 
200,koji odgovarati za svoj postupak . 
201,koliko imati nešto što se moći izmeriti . 
202,koji osećati ili ispoljavati velik uzbuđenje ili zainteresovanost 
203,moralan ispravnost 
204,"biti zdrav , osećati se dobro . "
205,život životinja za razlika od život biljka 
206,izjaviti za neki da jesam kriv po krivičan optužba . 
207,Čista nezaslađen čokolada koji se koristiti za kuvanje ( za pravljenje kolač ) . 
208,established Or widely recognized as a model of authority Or excellence 
209,Jačati u snaga . 
210,"kvalitet koji činiti daa jesam nešto poželjan , vredan ili korisno . "
211,"prijatan za oči ili duša , posebno jer jesam lep ili šarmantan . "
212,osnovni osećanje koji se teško definisati ali koji ljudi žele da osetiti . 
213,"koji imati ili ukazivati na dobro zdravlje telo ili duh , kod koji nem upala ili bolest . "
214,nastrojen prema nešto . 
215,koji ispoljavati pogodan ili povoljan uticaj 
216,kvalitet koji imati nešto što imati velik vrednost ili cena 
217,upadljiv uspeh . 
218,Osećanje naklonjenost drugi osoba ; uživanje u njihov društvo 
219,"onaj što jesam dobro , vredan ili korisno "
220,koji koristiti intelekt ili jesam privlačan intelekt . 
221,koji karakterisati životinja za razlika od biljka . 
222,"koji ne predstavljati teškoća , ne iziskivati napor . "
223,zabava koji držati pažnja . 
224,nagon za polni prisnost . 
225,proizvesti smeh . 
226,( za naglašavanje značenje ) izuzetno dobro 
227,veličina čiji se vrednost ne menjati 
228,stanje u koji jesam osoba krepak i nem telesni i duševan bolest . 
229,"koji se žeti , tražiti "
230,"koji jesam originalan ; jesam produktivan , ne donositi ništa neobično niti sveže . "
231,"aktivnost koji stimulisati , zabavljati i razonoditi . "
232,osoba koji jesam umreti i proglasiti za svetac proces kanonizacije 
233,neki ceniti atribut ili kvalitet . 
234,specijalan grupa koji jesam delegirati da razmotriti neki stvar . 
235,Učiniti čistiti uklanjanje prljavština ili neželjen supstanca . 
236,prihvatiti dokument kao valjan 
237,Omotač koji trebati da zaštititi nešto od oštećivanje ili povreda . 
238,osobina onaj ko jesam široko prihvatiti i čiji se društvo tražiti . 
239,lepota koji jesam privlačan čulo . 
240,osećanje prijateljstvo i uvažavanje 
241,gledati neki sa divljenje . 
242,nadmoćan ili povoljan položaj 
243,"u skolastika , jedan od četiri vrlina koji dolaziti od priroda . "
244,osoba koji se brina o ljudi i njihov svojina . 
245,velik bogatstvo . 
246,"Nezavistan , jesam spojiti ili sjediniti . "
247,koji moći da se redukovati 
248,"osobina neki ko jesam veličanstven , briljantan "
249,koji obezbeđivati ili osećati fizički udbnost ili opuštanje . 
250,moralno primeran 
251,biti koji predmet tople osećajnost ili odanost 
252,"zadobiti kakav prednost , kao što jesam bod itd . "
253,osobina da se radi onaj što jesam ispravan i da se izbegavati onaj što jesam 
254,od velik značaj ili važnost . 
255,stanje zrelost ; pun razvoj . 
256,voljen osoba ; koristiti se u izraz od milja . 
257,Osećanja proživeti kada jesam neki u zadovoljan stanje . 
258,"imati poželjan ili pozitivan kvalitet , posebno onaj koji jesam pogodan za određenu stvar "
259,odbolovati bolest ili prevazići šok . 
260,koji motivisati briga za otklanjanje patnja drugi . 
261,koji jesam sklon ljubav ili ispoljavanje ljubav 
262,imati sposobnost ili moć kreativnost . 
263,koji osećati ili pokazivati dobro raspoloženje 
264,osećanje seksualan ljubav 
265,"dizajnirati za određenu funkcija ili korišćenje , ili sposoban za ona . "
266,"zaklanjati od opasnost , povreda , uništenje ili šteta . "
0,ubijati ( životinja ) obično radi hrana 
1,veoma odbojan 
2,"na primer , o vukanima ; koji trajno jesam aktivan . "
3,uzrokovati probadanje 
4,Ispuštati vonj . 
5,"zaprljati , onečistiti . "
6,Not standard ; Not accepted as a model of excellence 
