,ID,Definicija,POS,NEG
0,ENG30-03574555-n,zgrada u koji se nalaziti organizacioni jedinica neki grana javan poslovanje ,2.8577182e-05,4.758001e-06
1,ENG30-07810907-n,pripremljen dodatak jela za poboljšanje ukus ,2.9205241e-05,5.446148e-06
2,ENG30-00721431-n,"u nečiji prilika , mogućnost ",4.9841212e-05,0.00026360774
3,ENG30-00473799-v,ostati jesam još samo da se doterati neki finesa u igra plaviti . ,5.2374944e-05,9.569209e-06
4,ENG30-00903385-v,zapad on jesam oprostiti što se nekada računati u Slobin prijatelj . ,3.435026e-05,0.00018389482
5,ENG30-00900961-v,""" i najposle se oprostiti : on sklapanje ruka , ja poklon . "" ",4.4963195e-05,2.743891e-05
6,ENG30-01987160-v,Čeličnu grdosija težak ukupno @card@ ton postaviti jesam na stub i namontirali neimar Mostogradnje . ,3.2902117e-05,4.9769037e-06
7,ENG30-01348174-v,sputati pomoću brava ,2.8424538e-05,6.882983e-06
8,ENG30-01376245-v,razmestiti na raštrkan način . ,0.0013994765,6.7834415e-05
9,ENG30-01382083-v,Tražiti i sakupljati . ,9.499637e-05,1.3637045e-05
10,ENG30-01387022-v,uglačati turpija ,2.6356167e-05,0.3326262
11,ENG30-01393996-v,Očistiti metenje . ,0.69298375,0.00020975676
12,ENG30-01421622-v,staviti ili ubaciti u nešto . ,0.0006886389,0.0019856824
13,ENG30-01431987-v,lagano dodirivati ili maziti . ,0.00041451622,0.00017625645
14,ENG30-01437254-v,"uzrokovati ili narediti da se preneti , usmeriti ili odaslati na drugi mesto . ",0.00010956937,1.054333e-05
15,ENG30-01441100-v,napraviti rupa u nešto . ,3.2440665e-05,8.783878e-06
16,ENG30-01445932-v,"uhvatiti , odgristi ili otrgnuti pomoću zub ili kao zub . ",0.00021044987,1.6769814e-05
17,ENG30-01446901-v,pomerati ili ljuljati napred-nazad . ,0.00015229652,5.0441384e-05
18,ENG30-01371756-v,"terati , voditi noga , u sport kao što jesam futbal . ",0.00026096666,8.9127934e-05
19,ENG30-01370561-v,udariti noga ,2.7690648e-05,1.0140836e-05
20,ENG30-01391280-v,poravnati ili raširiti valjak . ,0.0001023453,5.9385464e-05
21,ENG30-01435380-v,poslati od jedan osoba ili mesto na drugi . ,8.02054e-05,2.1951395e-05
22,ENG30-01456771-v,Čvrsto stisnuti među prst . ,3.580355e-05,7.641416e-06
23,ENG30-01461328-v,Smešati u jedan celina . ,3.2226515e-05,7.008764e-06
24,ENG30-01487311-v,natovariti teret . ,3.7668622e-05,3.9023536e-05
25,ENG30-01488956-v,napuniti ili natovariti do kraj . ,5.19883e-05,0.00021831041
26,ENG30-01489989-v,napuniti ili natovariti . ,0.00013557413,0.00019863859
27,ENG30-01493619-v,Čvrsto ili sigurno se smestiti . ,8.058719e-05,3.9070823e-05
28,ENG30-01528069-v,zabiti ili silom uterati . ,0.07559107,0.00010247207
29,ENG30-01536168-v,ispratiti sapun ili preostali prljavština . ,0.5268439,0.0006011022
30,ENG30-01566705-v,Uništiti ili oštetiti na nasilan način . ,0.00014769715,0.053829018
31,ENG30-01573515-v,razdvojiti ili učiniti da se nešto naglo razdvojiti . ,0.0006562742,5.8316204e-05
32,ENG30-01631534-v,"stvoriti mentalno i apstraktan , a ne ručno . ",2.8433444e-05,0.7098318
33,ENG30-01634142-v,zamisliti neki ideja . ,0.00012738092,0.012354427
34,ENG30-01691057-v,ostavljati ili crtati po površina . ,8.837225e-05,1.8114444e-05
35,ENG30-01723690-v,poprimiti ili glumiti nečiji karakter . ,0.033625104,6.229105e-05
36,ENG30-01747374-v,pisati nešto ponovo kako jesam . ,0.0002579029,6.650511e-06
37,ENG30-01797051-v,Osećati tuga . ,1.522717e-06,0.9514398
38,ENG30-01824532-v,Osećati ili izražavati želja ili nada za nečiji budućnost . ,0.36222336,0.009512866
39,ENG30-01828405-v,jako ili neprekidno želeti . ,0.059799638,0.5516722
40,ENG30-01866610-v,vrteti se ili uzrokovati da se nešto vrtiti . ,0.0004995321,0.008131197
41,ENG30-01868370-v,micati se uvijen ili grčevit pokret ( posebno u borba ) . ,4.2853644e-05,1.8759512e-05
42,ENG30-01876530-v,"kretati se u jedan smer , a zatim u suprotan . ",3.8236773e-05,4.6239616e-06
43,ENG30-01888946-v,tresti se grčevito ,0.00016436286,0.51837647
44,ENG30-01902405-v,kretati se žurno . ,3.0297768e-05,9.281736e-06
45,ENG30-01902783-v,biti u pokret zbog neki strujiti vazduh ili voditi . ,3.2172466e-05,2.2288597e-05
46,ENG30-01909397-v,okrenuti se iz uspravan ili normalan položaj . ,8.291335e-05,6.590157e-06
47,ENG30-01911888-v,Prić kradom ili krišom . ,0.06378232,0.42688403
48,ENG30-01916634-v,"hodati gordo , često pokušavati da se impresionirati drugi . ",0.0017540968,1.1386531e-05
49,ENG30-01920932-v,"Ići na dug pešačenje , iz zadovoljstvo ili telesni vežba . ",0.00070905377,8.823658e-06
50,ENG30-01938426-v,kretati se na skija . ,3.0162773e-05,5.99356e-06
51,ENG30-01960911-v,putovati kroz voda . ,3.1279993e-05,5.876099e-06
52,ENG30-01977701-v,pustiti nešto da pasti na zemlja . ,6.79275e-05,1.1950864e-05
53,ENG30-01983771-v,pretrpeti promena u položaj telo . ,4.018149e-05,5.9309887e-06
54,ENG30-01993926-v,Učiniti da nešto biti pomaknuti prema napred . ,0.932538,1.0641453e-06
55,ENG30-02038357-v,nagnuti se ili saviti iz uspravan položaj . ,0.000110154426,6.0542884e-06
56,ENG30-02058448-v,micati se neprestano . ,5.9564118e-05,4.8938153e-05
57,ENG30-02123672-v,Ispuštati miris . ,2.9061921e-05,1.1598574e-05
