X,Predicted,Real
bolest koji jesam stalno prisutan u velik ili manjoj mera u određenoj populacija ljudi ili kod ljudi koji živa na određenom područje ,1,0
( prava ) prava i ovlašćenje za tumačenje i primena zakon ,1,0
svaki star pompezan reakcionaran ultranacionalistički osoba ( prema crtan lik koji jesam stvoriti ser David Lov ) ,1,0
čin stvaranje pisan delo ,1,0
( Rimokatolička crkva ) osoba koji se pokajati zbog svoj greh ( rimokatolik činiti pokora prema uputstvo ispovednik ) ,1,0
skup konvencionalan princip i očekivanje koji se smatrati obavezujući za svaki osoba koji jesam član odrediti grupa ,1,0
koristiti se sa gradivan imenica ; mnogo po količina ili stepen . ,1,0
Čin užurban kretanje na nepažljiv način . ,1,0
specijalan grupa koji jesam delegirati da razmotriti neki stvar . ,1,0
osobina neki ko jesam voljan da podariti novac ili vreme . ,1,0
Čovek koji nemati nikakav titula . ,1,0
životan doba u koji polni žlezda postajati aktivan ,1,0
učiniti nesrećan ,1,0
Praživotinja koji se kretati i loviti hrana pomoću pseudopoda . ,1,0
osećanje sklonost prema osoba ili institucija ,1,0
temperaturni stepen na Farenhajtov skala ,1,0
čin traženje pomoć od koji ,1,0
koliko imati nešto što se moći izmeriti . ,0,1
velik pljosnatica u SAD-u ,1,0
"onaj što se moći videti , ili se moći znati ili zaključiti da imati svoj fizički postojanje ( živ ili neživ ) . ",1,0
naki od gljiva iz pododeljak Basidiomycota koji činiti klobuk na kraj drška koji rasti iz podzeman micelijuma ,1,0
( filozofija ) filozofski teorija prema koji jesam neki ideja urođen ,1,0
otkriti šta u tajnost - reći šta u poverenje ,1,0
Društveni čin okupljanje ,1,0
veoma loš kvalitet ili u veoma loš stanje ,1,0
religiozan osoba koji verovati da jesam Isus Hrist i koji jesam član neki hrišćanski denominacija ,1,0
Pružanje privremen pomoć . ,1,0
oslobađanje od stisak ,1,0
"velik ulazni dvorana ili prijemni sob , odnosno prostor ",1,0
sav fenomen koji jesam veštački stvoriti . ,1,0
sudski nalog koji se nalagati da se osloboditi dobra koji jesam nezakonito zadržan ( konfiskovan ) ,1,0
šta kao neto-profit ostvariti ,1,0
Čin ili proces razdvajanje . ,1,0
atinski zakonodavac čiji jesam zakon propisivati smrtan kazna za skoro sav prekršaj ( oko @ord@ vek p.n.e. ) ,1,0
Čin igranje sa uloga sa nada u pobeda ( uključivati i plaćanje cena kao šansa da se dobiti nagrada ) . ,1,0
umetnik koji slika . ,1,0
"celokupan psihički aktivnost odrediti jesam princip zadovoljstvo . po psihoanaliza , jedan od važan pojam , koji označavati subjektivan snažan i kratkotrajan afekt uživanje , praćen rasterećenje tenzija nagon i postizanje zadovoljenje . zadovoljstvo jesam prijatan osećanje koji varirati od osećanje blag ugodnost , preko uživanje sav do ekstaza . ",1,0
list papir sa više kolona ; koristiti se u računovodstvo za prikupljanje podatak o finansijski stanje ,1,0
Čin eksplodiranje . ,1,0
