X,Predicted,Real
pelikan . ,1,0
prepoznatljiv simbol . ,1,0
stanje u koji jesam neki aktivan . ,1,0
merodavno i često citirati mesto ,1,0
ukloniti posvećenost sa osoba ili objekt . ,1,0
"kvalitet koji činiti daa jesam nešto poželjan , vredan ili korisno . ",1,0
praviti društvo neki ; izlaziti s neki . ,1,0
niz broj kod kofga jesam svaki broj zbir prethodan dva ,1,0
proučavanje pravilo za formiranje moguć reč u jedan jezik ,1,0
"specijalista za bolest uvo , grlo i nos . ",1,0
crkven obred koji se nešto činiti svetiti . ,1,0
organ čuti vida . ,1,0
rasprostranjen širenje infektivan bolest ; mnogo ljudi jesam zaraziti istovremeno ,1,0
sessile marina coelenterates including solitary and colonial polyps ; the medusoid phase is entirely suppressed ,1,0
pogoditi projektil iz oružje ,1,0
odbiti plaćanje članarina sindikat za politički potreba . ,1,0
koji se ticati Kristofer Kolumbo ,1,0
koji pripadati klasa imenica koji označavati neživ objekt ,1,0
Opšti progresivan rast cena . ,1,0
skup oznaka i pravilo za njihov korišćenje ( u sklad sa SGML-om ) u razvoj hipertekstualan dokument ,1,0
oruđe pomoću koji se pokretati i usmeravati čamac ,1,0
formacija avion u leto . ,1,0
evroazijski sadža sa crn fleka na stomak ,1,0
"razmotriti nešto detaljno , podvrgnuti analiza da biti se otkriti njegov suštinski svojstvo ili značenje . ",1,0
plenor ,1,0
radnja u koji se suv putem čist odeća . ,1,0
srediti po klasa ili kategorija . ,1,0
zaliv Crnog morati između Rusija i Ukrajina ,1,0
ugraviran posveta ,1,0
uneti znak interpunkcija u tekst ,1,0
grafikon eksponencijalan funkcija ,1,0
radnja u koji se prodavati cipela . ,1,0
zgrada snabdeven poseban oprema i osoblje za odrediti namena . ,1,0
verski praznik za Jevrejin ,1,0
"u računarstvo , softver koji kontrolisati izvršavanje računarski program i pružati korisnik mnogi usluga ",1,0
poredak sličan stvar koji jesam smestiti ili se dešavati u poredak jedan za drugi . ,1,0
"o početan rad , ili koji jesam u veza s on ili koji karakterisati početan rad ",1,0
navod na početak neki delo pisan delo ,1,0
pozitivan razlomljen deo u reprezentacija logaritma ,1,0
Izgrađuju zid cevast organ i organ sa šupljina . sastojati se od velik brojati vretenast ćelija koji imati obično jedan jedro u centar ćelija . Aktin i miozin jesam u ona grupisati u snop tako da nemati poprečne-prugavosti . ,1,0
Načiniti od mesto sav dom . ,1,0
Obuća koji pokrivati ceo stopala i potkolenica . ,1,0
"izuzetno mršav , kost i koža ",1,0
"izazvati promena , transformacija ; učiniti različit . ",1,0
poslovanje vezati za izdavanje ,1,0
prilika da izložiti slučaj i da vi saslušati ,1,0
izgubiti kakavu pozicija ili moć ,1,0
crkven obred koji se nešto činiti svetiti . ,1,0
udaljavati se s koji mesto u drugi pravac ,1,0
strah koji osećati osoba koji trebati da nastupiti pred publika ,1,0
kifla u koji se nalaziti viršla ili kobasica . ,1,0
