ID,POS,NEG,Lemme,Definicija,Vrsta
ENG30-03574555-n,0.0017873979322180489,0.00201891727368686,ustanova,zgrada u kojoj se nalazi organizaciona jedinica neke grane javnog poslovanja,n
ENG30-07810907-n,0.00411287692631479,0.002228908215415437,začin,pripremljeni dodatak jelu za poboljšanje ukusa,n
ENG30-00721431-n,0.05183616341221953,0.06436482132542753,mesto,"u nečijim prilikama, mogućnostima",n
ENG30-00473799-v,0.009410673240723533,0.0044777034321450415,"obnoviti,doterati,uglancati,uljuditi",Ostalo je još samo da se doteraju neke finese u igri plavih.,v
ENG30-00903385-v,0.019168818734508264,0.03938950075946401,oprostiti,Zapad mu je oprostio što se nekada računao u Slobine prijatelje.,v
ENG30-00900961-v,0.031808818362155655,0.022796104333797196,oprostiti se,"""I najposle se oprostismo: on sklapanjem ruku, ja poklonom.""",v
ENG30-01987160-v,0.0019650630343441833,0.0029682837117199767,postaviti,Čeličnu grdosiju tešku ukupno 2160 tona postavili su na stubove i namontirali neimari Mostogradnje.,v
ENG30-01348174-v,0.001997730662188779,0.0023718392151215184,"zaključati,zabraviti",Sputati pomoću brave,v
ENG30-01376245-v,0.0025502230494218736,0.0024596835940080553,"rasuti,raštrkati,posuti,rasejati,rasturiti",Razmestiti na raštrkan način.,v
ENG30-01382083-v,0.003857358572649794,0.003229468343424635,"brati,sakupljati",Tražiti i sakupljati.,v
ENG30-01387022-v,0.0017914669550549434,0.0026186751164090083,"oturpijati,isturpijati,strugati",uglačati turpijom,v
ENG30-01393996-v,0.0024098834039021355,0.00420466866505631,pomesti,Očistiti metenjem.,v
ENG30-01421622-v,0.004537443266485752,0.002418736563299717,"ubaciti,umetnuti,staviti",Staviti ili ubaciti u nešto.,v
ENG30-01431987-v,0.08573982428645177,0.002775642386427357,"golicati,škakljati,dražiti",Lagano dodirivati ili maziti.,v
ENG30-01437254-v,0.004504993919892897,0.0028141293569046155,"odaslati,izaslati,izdati","Uzrokovati ili narediti da se prenese, usmeri ili odašalje na drugo mesto.",v
ENG30-01441100-v,0.0022270579639425137,0.00602861240539454,probušiti,Napraviti rupu u nečemu.,v
ENG30-01445932-v,0.0022071709528379557,0.0025924851789884684,"ujesti,ugristi","Uhvatiti, odgristi ili otrgnuti pomoću zuba ili kao zubima.",v
ENG30-01446901-v,0.0037484257031543677,0.0037905959893329566,"mahnuti,mahati,vitalati",Pomerati ili ljuljati napred-nazad.,v
ENG30-01371756-v,0.002933242911669076,0.002052554482790292,"šutnuti,voditi","Terati, voditi nogom, u sportovima kao što je futbal.",v
ENG30-01370561-v,0.002252357785731185,0.01507626730683409,šutnuti,Udariti nogom,v
ENG30-01391280-v,0.002235475418683741,0.0019932570434777475,"uvaljati,razviti",Poravnati ili raširiti valjkom.,v
ENG30-01435380-v,0.0028803491629867395,0.002160876397064193,"preneti,sprovesti",Poslati od jedne osobe ili mesta na drugo.,v
ENG30-01456771-v,0.01119638936096834,0.0026289816337268235,"štipati,štipnuti,stisnuti",Čvrsto stisnuti među prstima.,v
ENG30-01461328-v,0.002755786927571613,0.002223860176434833,"smešati,pomešati",Smešati u jednu celinu.,v
ENG30-01487311-v,0.002498403907988944,0.0031836487066492225,"opteretiti,otežati,natovariti",Natovariti teretom.,v
ENG30-01488956-v,0.003768638883664188,0.002454848204686222,utovariti,Napuniti ili natovariti do kraja.,v
ENG30-01489989-v,0.002663870902265053,0.0026004217579016498,"nakrcati,natovariti",Napuniti ili natovariti.,v
ENG30-01493619-v,0.16219093889318792,0.0017829188736566692,"smestiti se,zavaliti se",Čvrsto ili sigurno se smestiti.,v
ENG30-01528069-v,0.003038914659918568,0.011177303055228016,"smestiti,zabiti,zariti",Zabiti ili silom uterati.,v
ENG30-01536168-v,0.0023569732517678688,0.013183769545026536,"proprati,isplaknuti",Isprati sapun ili preostalu prljavštinu.,v
ENG30-01566705-v,0.008808457341697107,0.7513501430421137,"smrskati,skršiti",Uništiti ili oštetiti na nasilan način.,v
ENG30-01573515-v,0.0033290930772373883,0.1158941336656163,"prekinuti se,preseći se,puknuti,rasparati",Razdvojiti ili učiniti da se nešto naglo razdvoji.,v
ENG30-01631534-v,0.007916436213281308,0.004179090875413571,"zamisliti,stvoriti umom","Stvoriti mentalno i apstraktno, a ne ručno.",v
ENG30-01634142-v,0.005787528748535387,0.0048164498758547225,"smisliti,isplanirati,zasnovati",Zamisliti neku ideju.,v
ENG30-01691057-v,0.0022475614672909927,0.002208878052831764,"crtati,pisati",Ostavljati ili crtati po površini.,v
ENG30-01723690-v,0.022839066025253985,0.0039315786328284474,"oličavati,oličiti",Poprimiti ili glumiti nečiji karakter.,v
ENG30-01747374-v,0.018944680549689785,0.005122080304214016,prepisati,Pisati nešto ponovo kako jeste.,v
ENG30-01797051-v,0.04915387353271239,0.665189901202619,"oplakati,tugovati,jadikovati,ožaliti",Osećati tugu.,v
ENG30-01824532-v,0.3667216803853828,0.20540586672476113,želeti dobro,Osećati ili izražavati želju ili nadu za nečiju budućnost.,v
ENG30-01828405-v,0.21515143758643962,0.03875603622783519,"čeznuti,priželjkivati,žudeti",Jako ili neprekidno želeti.,v
ENG30-01866610-v,0.002338222503563969,0.0024987229107829023,"vrteti se,kotrljati se,valjati se",Vrteti se ili uzrokovati da se nešto vrti.,v
ENG30-01868370-v,0.004169571403216388,0.004040691260050799,"migoljiti se,uvrtati se,savijati se",Micati se uvijenim ili grčevitim pokretima (posebno u borbi).,v
ENG30-01876530-v,0.004249813220445375,0.0021785369133393573,ići tamo-amo,"Kretati se u jednom smeru, a zatim u suprotnom.",v
ENG30-01888946-v,0.003028669675249951,0.010478058179278271,"drhtati,potresti se,treperiti,protresti se",Tresti se grčevito,v
ENG30-01902405-v,0.009360922987931453,0.0027860687332088574,"odjuriti,strugnuti,kidnuti,odmagliti",Kretati se žurno.,v
ENG30-01902783-v,0.0024391501999669885,0.0020473986721807336,"plutati,lelujati se",Biti u pokretu zbog neke struje vazduha ili vode.,v
ENG30-01909397-v,0.007821313506657823,0.0022271046701023423,"prevrnuti se,iskrenuti se",Okrenuti se iz uspravnog ili normalnog položaja.,v
ENG30-01911888-v,0.003277459813676664,0.02214806683214743,"ušunjati se,privući se,prikrasti se",Prići kradom ili krišom.,v
ENG30-01916634-v,0.02981273996119782,0.005922602288773504,"šepiriti se,šepuriti se,kerebečiti se,prsiti se,razmetati se","Hodati gordo, često pokušavajući da se impresioniraju drugi.",v
ENG30-01920932-v,0.005686107369228921,0.002639639468952737,dugo pešačiti,"Ići na dugo pešačenje, iz zadovoljstva ili telesne vežbe.",v
ENG30-01938426-v,0.002267463140873005,0.0019911062053719064,"skijati se,smučati se",Kretati se na skijama.,v
ENG30-01960911-v,0.0023605497870873293,0.0024180533681343874,plivati,Putovati kroz vodu.,v
ENG30-01977701-v,0.0026299706769874476,0.006133486993401327,ispustiti,Pustiti nešto da padne na zemlju.,v
ENG30-01983771-v,0.0028880696193009925,0.015788720120552213,promeniti položaj,Pretrpeti promenu u položaju tela.,v
ENG30-01993926-v,0.004907840770117744,0.009508559387557014,"primaknuti,prineti,približiti",Učiniti da nešto bude pomaknuto prema napred.,v
ENG30-02038357-v,0.003328919106760253,0.0020988729536917106,"nagnuti se,nagibati se,iskositi se,ukositi se",Nagnuti se ili saviti iz uspravnog položaja.,v
ENG30-02058448-v,0.005133738789937503,0.0029158946613287995,"vrpoljiti se,meškoljiti se,vrteti se",Micati se neprestano.,v
ENG30-02123672-v,0.030282511449603255,0.010271086431292709,mirisati,Ispuštati miris.,v
ENG30-02125223-v,0.02618313632431679,0.16196151874485665,"namirisati,nanjušiti",Osetiti nečiji miris.,v
ENG30-01887576-v,0.1813310325170452,0.002684721353142905,"kliziti,klizati",Kretati se glatko i bez muke.,v
ENG30-01886488-v,0.0630578327725182,0.0025413859436760333,"puzati,gmizati,puziti",Prolaziti ili se kretati nenametljivo ili glatko.,v
ENG30-01587062-v,0.03349767478421306,0.002739547214060778,"opkoliti,obuhvatiti",Potpuno okružiti.,v
ENG30-01467370-v,0.0026586703276958445,0.0022235117173519114,"okružiti,omeđivati,graničiti se",Protezati se istovremeno na sve strane.,v
ENG30-01976841-v,0.002468190811332427,0.0032124144059979542,"pasti,padati",Padati okomito.,v
ENG30-02157731-v,0.06373913225010153,0.1706970148928475,"zatamniti,zamagliti,pomračiti",Učiniti manje vidljivim ili nejasnim.,v
ENG30-02158587-v,0.05530496899784776,0.2816619819849846,"prerušiti,maskirati",Učiniti neprepoznatljivim.,v
ENG30-01334535-v,0.002195120652829452,0.08120887060991411,"prikriti,zaogrnuti,zamaskirati",Sakriti pod lažnom pojavom.,v
ENG30-02163746-v,0.05135061519484463,0.002668327859448816,"ugledati,spaziti,videti","Ugladati, opaziti očima.",v
ENG30-02165543-v,0.050592314619565926,0.00614793242886158,proučiti,Pažljivo ispitati.,v
ENG30-02186506-v,0.002684032635825062,0.008148288445608998,"zvečati,zveketati,zveckati",Proizvoditi ili emitovati prodoran zveketav zvuk.,v
ENG30-02188587-v,0.02602336944306405,0.0057619327422431255,"presti,zujati,zvrjati,fijukati,zviždati","Proizvoditi tih šuštav zvuk, kao kad motor radi ili krila lepršaju.",v
ENG30-02212825-v,0.018018419455068546,0.36931664736129566,"odbiti,uskratiti,odreći",Ne dati nekome šta mu pripada.,v
ENG30-02259005-v,0.0033272181186845273,0.0032782827053239316,trampiti se,Zameniti ili dati nešto u zamenu.,v
ENG30-02290461-v,0.39714226181182166,0.010147795626251899,"koristiti se,izvući korist,okoristiti se",Steći korist.,v
ENG30-02293321-v,0.0052167251631267675,0.00463252513852197,sprovesti,Predati nekoga ili nešto drugome.,v
