ID,POS,NEG,Lemme,Definicija
ENG30-01566705-v,0.0,0.75,"smrskati,skršiti",Uništiti ili oštetiti na nasilan način.
ENG30-01797051-v,0.0,0.75,"oplakati,tugovati,jadikovati,ožaliti",Osećati tugu.
ENG30-07305234-n,0.0,0.625,"nedaća,beda",Uzrok velikih patnji i nesreće.
ENG30-05829480-n,0.0,0.625,negativni stimulans,stimulans sa nepoželjnim posledicama
ENG30-07298982-n,0.0,0.75,"udarac,udar,šok",neprijatno ili razočaravajuće iznenađenje
ENG30-05942888-n,0.0,0.625,"ubeđenje,uverenje",nepokolebljivo verovanje u nešto bez potrebe za dokazima ili nalazima
ENG30-07510625-n,0.0,0.75,šok,iznenadno stanje žestoke emocionalne uznemirenosti
ENG30-00802238-n,0.0,0.625,rizik,poduhvat koji se preduzima bez obzira na mogući gubitak ili povredu
ENG30-05645199-n,0.0,0.625,"blokada,mentalna blokada",Nesposobnost osobe da se seti ili uradi ono što obično može; često uzrokovana emoionalnom napetošću.
ENG30-02123424-v,0.0,0.875,"probosti,žigati",uzrokovati probadanje
ENG30-02579447-v,0.0,0.625,"pokvariti,iskvariti,korumpirati,demoralisati,pervertirati,profanisati",moralno iskvariti
ENG30-00419908-n,0.125,0.75,"zlostavljanje,zlostava",okrutno ili nehumano postupanje
ENG30-02513989-v,0.0,0.75,"postupiti nepravično,učiniti nažao",naneti nekome nepravdu
ENG30-07506569-n,0.0,0.75,"stid,sramota",bolan osećaj koji proizlazi iz svesti o nedovoljnosti ili krivici
ENG30-02451951-a,0.0,0.75,nepopustljiv,"Koji nije popustljiv, kojim se teško upravlja."
ENG30-00674340-v,0.0,0.875,"ne odobravati,zamerati",Smatrati da je nešto loše ili pogrešno.
ENG30-00025654-v,0.0,0.625,"opustiti,relaksirati",Ućiniti da se neko oseti opuštenim.
ENG30-01549291-a,0.125,0.75,nemoralan,Koji narušava principe dobra i zla.
ENG30-14425974-n,0.0,0.625,nezrelost,Stanje koje još ne odgovara zrelosti.
ENG30-07289014-n,0.0,0.625,"nevolja,teškoća",Ono što izaziva bol ili patnju.
ENG30-00927049-v,0.0,0.75,"spekulirati,spekulisati,nagađati",Pričati na besposlen ili neobavezan način sa elementom sumnje ili bez dovoljno razloga da se dođe do zaključka.
ENG30-10205231-n,0.0,0.75,"podređen,potčinjen",Neko nižeg ranga ili položaja ili kvaliteta.
